Voyage_ID,Vessel_name,Voyage_itinerary_place,Voyage_itinerary_purchase,Voyage_itinerary_disembarkation,Year_of_arrival,Slaves_arrived_at_1st_port,Captains_name
90493,Spencer,Liverpool,Cape Mount (Cape Grand Mount),Kingston,1754,203,"Roberts, Thomas"
90494,Spencer,Liverpool,"Windward Coast, port unspecified","Jamaica, port unspecified",1755,,"Roberts, Thomas"
90495,Spencer,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1758,336,"Roberts, Thomas<br/> Cook, Daniel"
90496,Prince of Orange,Liverpool,Grand Sestos,Kingston,1754,196,"Rawlinson, James"
90497,Prince of Orange,Liverpool,Rock Sestos,,1756,,"Jackson, Richard"
90498,Mary,Liverpool,"Windward Coast, port unspecified",Kingston,1755,105,"Lawson, Robert"
90501,Barbados Packet,Liverpool,Gambia,"Barbados, port unspecified",1754,89,"Thompson, Thomas"
90502,Barbadoes Packet,Liverpool,Gambia,"Barbados, port unspecified",1758,56,"Whitfield, William"
90503,Jesse,Liverpool,Anomabu,Kingston,1755,170,"Carruthers, James"
90504,David,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1754,180,"Cooke, Charles"
90506,Greyhound,Liverpool,Anomabu,Kingston,1754,204,"Furnell, William"
90507,Herring,Liverpool,Anomabu,Kingston,1754,184,"Wheelwright, Timothy"
90508,Herring,Liverpool,Anomabu,"Jamaica, port unspecified",1755,215,"Dobb, John<br/> Wheelwright, Timothy"
90510,Grampus,Liverpool,Gambia,"Barbados, port unspecified",1754,181,"Maddock, John"
90511,Grampus,Liverpool,"Windward Coast, port unspecified","St. Kitts, port unspecified",1755,,"Corbett, John<br/> Maddock, John"
90512,Grampus,Liverpool,,,1757,,"Corbett, John"
90513,Good Intent,Liverpool,"Africa., port unspecified",,1753,,"Sumner, Henry"
90514,Orrel,Liverpool,Gambia,"South Carolina, port unspecified",1754,170,"Bennett, James"
90515,Orrel,Liverpool,Gambia,Charleston,1755,133,"Bennett, James"
90516,Nancy,Liverpool,"Windward Coast, port unspecified",Kingston,1755,108,"Foster, John"
90517,Hector,Liverpool,Bonny,Kingston,1754,260,"Willan, John"
90518,Hector,Liverpool,Bonny,Kingston,1755,360,"Dickenson, Nath<br/> Livesey, Evan"
90519,Hector,Liverpool,Bonny,Kingston,1757,385,"Livesey, Evan"
90520,Hector,Liverpool,Whydah,"Jamaica, port unspecified",1758,367,"Livesey, Evan"
90521,Hector,Liverpool,Bonny,Basse-Terre,1760,166,"Livesey, Evan"
90522,Hector,Liverpool,Bonny,Basse-Terre,1761,,"Livesey, Evan"
90523,Hector,Liverpool,Bonny,"French Caribbean, colony unspecified",1762,270,"Hanley, Richard<br/> Livesly"
90524,Hector,Liverpool,Bonny,"Barbados, port unspecified",1764,328,"Hanley, Richard"
90525,Jane,Liverpool,Gambia,"Barbados, port unspecified",1754,151,"Lee, John"
90526,Jane,Liverpool,Gambia,"Barbados, port unspecified",1755,93,"Lee, John"
90527,Jane,"Barbados, port unspecified",Gambia,"Barbados, port unspecified",1756,120,"Lee, John"
90528,Jane,Liverpool,Gambia,"Barbados, port unspecified",1757,98,"Lee, John"
90529,Duke of Chester,Liverpool,Calabar,Kingston,1755,184,"Lace, Ambrose"
90530,Betsey,Liverpool,Gambia,Kingston,1755,170,"Jenkinson, Charles<br/> Sechverall, Sam"
90531,Quester,Liverpool,"Windward Coast, port unspecified","St. Kitts, port unspecified",1754,,"Hall, Joseph<br/> Perkin"
90532,Molly,Liverpool,Bonny,Saint John (Antigua),1754,,"Simmons, John"
90533,Molly,Liverpool,Bonny,Kingston,1756,240,"Simmons, John"
90534,Fanny,Liverpool,"Gold Coast, port unspecified","St. Kitts, port unspecified",1755,,"Jenkinson, William"
90535,Fanny,Liverpool,Popo,Kingston,1756,115,"Jenkinson, William"
